Category,Stage,Recipe Directory,Model / Workload Type,Accelerator Platform,Accelerator / GPU Topology (Count),Host Type,Orchestrator,Software Stack,Last Commit Date,Last Commit Message,Direct GitHub Recipe Link
Training,N/A,training/a4/deepseek_v3/megatron-bridge-gke/nemo2511/256gpus-bf16-seq4096-gbs2048/recipe,DeepSeek-V3,A4,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/deepseek_v3/megatron-bridge-gke/nemo2511/256gpus-bf16-seq4096-gbs2048/recipe
Training,N/A,training/a4/deepseek_v3/megatron-bridge-gke/nemo2602/256gpus-bf16-seq4096-gbs2048/recipe,DeepSeek-V3,A4,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/deepseek_v3/megatron-bridge-gke/nemo2602/256gpus-bf16-seq4096-gbs2048/recipe
Training,N/A,training/a4/deepseek_v3/megatron-bridge-gke/nemo2602/256gpus-fp8mx-seq4096-gbs4096/recipe,DeepSeek-V3,A4,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/deepseek_v3/megatron-bridge-gke/nemo2602/256gpus-fp8mx-seq4096-gbs4096/recipe
Training,N/A,training/a4/gpt_oss_120b/megatron-bridge-gke/nemo2602/64gpus-bf16-seq4096-gbs1280/recipe,GPT-OSS-120B,A4,64 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/gpt_oss_120b/megatron-bridge-gke/nemo2602/64gpus-bf16-seq4096-gbs1280/recipe
Training,N/A,training/a4/llama3-1-405b/maxtext-pretraining-gke,Llama-3.1-405B,A4,256 GPUs,Multi Host,GKE,MaxText (JAX),2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/llama3-1-405b/maxtext-pretraining-gke
Training,N/A,training/a4/llama3-1-70b/maxtext-pretraining-gke,Llama-3.1-70B,A4,256 GPUs,Multi Host,GKE,MaxText (JAX),2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/llama3-1-70b/maxtext-pretraining-gke
Training,N/A,training/a4/llama3-8b/megatron-bridge-gke/nemo2602/8gpus-fp8cs-seq8192-gbs128/recipe,Llama-3-8B,A4,8 GPUs,Single Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/llama3-8b/megatron-bridge-gke/nemo2602/8gpus-fp8cs-seq8192-gbs128/recipe
Training,N/A,training/a4/llama31_405b/megatron-bridge-slurm/nemo2509/128gpus-fp8cs-gbs1024/recipe,Llama-3.1-405B,A4,128 GPUs,Multi Host,Slurm,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/llama31_405b/megatron-bridge-slurm/nemo2509/128gpus-fp8cs-gbs1024/recipe
Training,N/A,training/a4/llama31_405b/nemo-gke/nemo2507/128gpus-fp8-gbs128/recipe/recipe,Llama-3.1-405B,A4,128 GPUs,Multi Host,GKE,NeMo Framework,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/llama31_405b/nemo-gke/nemo2507/128gpus-fp8-gbs128/recipe/recipe
Training,N/A,training/a4/llama31_405b/nemo-gke/nemo2507/256gpus-fp8-gbs256/recipe/recipe,Llama-3.1-405B,A4,256 GPUs,Multi Host,GKE,NeMo Framework,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/llama31_405b/nemo-gke/nemo2507/256gpus-fp8-gbs256/recipe/recipe
Training,N/A,training/a4/llama31_405b/nemo-gke/nemo2507/64gpus-fp8-gbs256/recipe/recipe,Llama-3.1-405B,A4,64 GPUs,Multi Host,GKE,NeMo Framework,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/llama31_405b/nemo-gke/nemo2507/64gpus-fp8-gbs256/recipe/recipe
Training,N/A,training/a4/llama31_405b/nemo-gke/nemo2602/128gpus-fp8cs-gbs128/recipe,Llama-3.1-405B,A4,128 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/llama31_405b/nemo-gke/nemo2602/128gpus-fp8cs-gbs128/recipe
Training,N/A,training/a4/llama31_405b/nemo-gke/nemo2602/256gpus-fp8cs-gbs256/recipe,Llama-3.1-405B,A4,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/llama31_405b/nemo-gke/nemo2602/256gpus-fp8cs-gbs256/recipe
Training,N/A,training/a4/llama3_70b/megatron-bridge-slurm/nemo2509/64gpus-fp8cs-seq8192-gbs2048/recipe,Llama-3.1-70B,A4,64 GPUs,Multi Host,Slurm,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/llama3_70b/megatron-bridge-slurm/nemo2509/64gpus-fp8cs-seq8192-gbs2048/recipe
Training,N/A,training/a4/llama3_70b/nemo-gke/nemo2507/128gpus-bf16-gbs256/recipe,Llama-3-70B,A4,128 GPUs,Multi Host,GKE,NeMo Framework,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/llama3_70b/nemo-gke/nemo2507/128gpus-bf16-gbs256/recipe
Training,N/A,training/a4/llama3_70b/nemo-gke/nemo2507/128gpus-bf16-gbs512/recipe,Llama-3-70B,A4,128 GPUs,Multi Host,GKE,NeMo Framework,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/llama3_70b/nemo-gke/nemo2507/128gpus-bf16-gbs512/recipe
Training,N/A,training/a4/llama3_70b/nemo-gke/nemo2507/16gpus-bf16-gbs1024/recipe,Llama-3-70B,A4,16 GPUs,Multi Host,GKE,NeMo Framework,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/llama3_70b/nemo-gke/nemo2507/16gpus-bf16-gbs1024/recipe
Training,N/A,training/a4/llama3_70b/nemo-gke/nemo2507/16gpus-bf16-gbs2048/recipe,Llama-3-70B,A4,16 GPUs,Multi Host,GKE,NeMo Framework,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/llama3_70b/nemo-gke/nemo2507/16gpus-bf16-gbs2048/recipe
Training,N/A,training/a4/llama3_70b/nemo-gke/nemo2507/16gpus-bf16-gbs256/recipe,Llama-3-70B,A4,16 GPUs,Multi Host,GKE,NeMo Framework,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/llama3_70b/nemo-gke/nemo2507/16gpus-bf16-gbs256/recipe
Training,N/A,training/a4/llama3_70b/nemo-gke/nemo2507/256gpus-bf16-gbs2048/recipe,Llama-3-70B,A4,256 GPUs,Multi Host,GKE,NeMo Framework,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/llama3_70b/nemo-gke/nemo2507/256gpus-bf16-gbs2048/recipe
Training,N/A,training/a4/llama3_70b/nemo-gke/nemo2507/256gpus-bf16-gbs256/recipe,Llama-3-70B,A4,256 GPUs,Multi Host,GKE,NeMo Framework,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/llama3_70b/nemo-gke/nemo2507/256gpus-bf16-gbs256/recipe
Training,N/A,training/a4/llama3_70b/nemo-gke/nemo2507/64gpus-bf16-gbs256/recipe,Llama-3-70B,A4,64 GPUs,Multi Host,GKE,NeMo Framework,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/llama3_70b/nemo-gke/nemo2507/64gpus-bf16-gbs256/recipe
Training,N/A,training/a4/llama3_70b/nemo-gke/nemo2602/64gpus-fp8mx-gbs256/recipe,Llama-3-70B,A4,64 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/llama3_70b/nemo-gke/nemo2602/64gpus-fp8mx-gbs256/recipe
Training,N/A,training/a4/mixtral_8x7b/nemo-gke/nemo2507/recipe,Mixtral-8x7B,A4,4 GPUs,Single Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/mixtral_8x7b/nemo-gke/nemo2507/recipe
Training,N/A,training/a4/paligemma2,PaliGemma2,A4,4 GPUs,Single Host,GKE,"NeMo Framework, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/paligemma2
Training,N/A,training/a4/qwen3_235b_a22b/megatron-bridge-gke/nemo2511/256gpus-bf16-seq4096-gbs4096/recipe,Qwen3-235B-A22B,A4,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/qwen3_235b_a22b/megatron-bridge-gke/nemo2511/256gpus-bf16-seq4096-gbs4096/recipe
Training,N/A,training/a4/qwen3_235b_a22b/megatron-bridge-gke/nemo2602/128gpus-bf16-seq4096-gbs4096/recipe,Qwen3-235B-A22B,A4,128 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/qwen3_235b_a22b/megatron-bridge-gke/nemo2602/128gpus-bf16-seq4096-gbs4096/recipe
Training,N/A,training/a4/qwen3_235b_a22b/megatron-bridge-gke/nemo2602/256gpus-bf16-seq4096-gbs4096/recipe,Qwen3-235B-A22B,A4,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/qwen3_235b_a22b/megatron-bridge-gke/nemo2602/256gpus-bf16-seq4096-gbs4096/recipe
Training,N/A,training/a4/qwen3_235b_a22b/megatron-bridge-gke/nemo2602/256gpus-fp8mx-seq4096-gbs8192/recipe,Qwen3-235B-A22B,A4,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/qwen3_235b_a22b/megatron-bridge-gke/nemo2602/256gpus-fp8mx-seq4096-gbs8192/recipe
Training,N/A,training/a4/qwen3_235b_a22b/megatron-bridge-slurm/nemo2511/128gpus-bf16-seq4096-gbs4096/recipe,Qwen3-235B-A22B,A4,128 GPUs,Multi Host,Slurm,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/qwen3_235b_a22b/megatron-bridge-slurm/nemo2511/128gpus-bf16-seq4096-gbs4096/recipe
Training,N/A,training/a4/qwen3_30b_a3b/nemo-gke/nemo2602/8gpus-fp8mx-seq4096-gbs512/recipe,Qwen3-30B-A3B,A4,8 GPUs,Single Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/qwen3_30b_a3b/nemo-gke/nemo2602/8gpus-fp8mx-seq4096-gbs512/recipe
Training,N/A,training/a4/wan_14b/nemo-gke/nemo2511/32gpus-bf16-gbs64/recipe,Wan-2.1-14B,A4,32 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4/wan_14b/nemo-gke/nemo2511/32gpus-bf16-gbs64/recipe
Training,N/A,training/a4x-max/deepseek-v3/megatron-bridge-gke/nemo2511/256gpus-bf16-seq4096-gbs2048/recipe,DeepSeek-V3,A4X Max,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/deepseek-v3/megatron-bridge-gke/nemo2511/256gpus-bf16-seq4096-gbs2048/recipe
Training,N/A,training/a4x-max/deepseek-v3/megatron-bridge-gke/nemo2511/256gpus-fp8mx-seq4096-gbs2048/recipe,DeepSeek-V3,A4X Max,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/deepseek-v3/megatron-bridge-gke/nemo2511/256gpus-fp8mx-seq4096-gbs2048/recipe
Training,N/A,training/a4x-max/deepseek-v3/megatron-bridge-gke/nemo2604/1024gpus-fp8mx-seq4096-gbs16384/recipe,DeepSeek-V3,A4X Max,1024 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/deepseek-v3/megatron-bridge-gke/nemo2604/1024gpus-fp8mx-seq4096-gbs16384/recipe
Training,N/A,training/a4x-max/deepseek-v3/megatron-bridge-gke/nemo2604/256gpus-fp8mx-seq4096-gbs4096/recipe,DeepSeek-V3,A4X Max,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/deepseek-v3/megatron-bridge-gke/nemo2604/256gpus-fp8mx-seq4096-gbs4096/recipe
Training,N/A,training/a4x-max/deepseek-v3/megatron-bridge-gke/nemo2604/512gpus-fp8mx-seq4096-gbs8192/recipe,DeepSeek-V3,A4X Max,512 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/deepseek-v3/megatron-bridge-gke/nemo2604/512gpus-fp8mx-seq4096-gbs8192/recipe
Training,N/A,training/a4x-max/deepseek-v3/megatron-bridge-gke/nemo2606/256gpus-fp8mx-seq4096-gbs4096/recipe,DeepSeek-V3,A4X Max,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/deepseek-v3/megatron-bridge-gke/nemo2606/256gpus-fp8mx-seq4096-gbs4096/recipe
Training,N/A,training/a4x-max/gpt-oss-120b/megatron-bridge-gke/nemo2511/128gpus-bf16-seq4096-gbs512/recipe,GPT-OSS-120B,A4X Max,128 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/gpt-oss-120b/megatron-bridge-gke/nemo2511/128gpus-bf16-seq4096-gbs512/recipe
Training,N/A,training/a4x-max/gpt-oss-120b/megatron-bridge-gke/nemo2511/256gpus-bf16-seq4096-gbs1024/recipe,GPT-OSS-120B,A4X Max,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/gpt-oss-120b/megatron-bridge-gke/nemo2511/256gpus-bf16-seq4096-gbs1024/recipe
Training,N/A,training/a4x-max/gpt-oss-120b/megatron-bridge-gke/nemo2511/64gpus-bf16-seq4096-gbs512/recipe,GPT-OSS-120B,A4X Max,64 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/gpt-oss-120b/megatron-bridge-gke/nemo2511/64gpus-bf16-seq4096-gbs512/recipe
Training,N/A,training/a4x-max/gpt-oss-120b/megatron-bridge-gke/nemo2604/1024gpus-fp8mx-seq4096-gbs20480/recipe,GPT-OSS-120B,A4X Max,1024 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/gpt-oss-120b/megatron-bridge-gke/nemo2604/1024gpus-fp8mx-seq4096-gbs20480/recipe
Training,N/A,training/a4x-max/gpt-oss-120b/megatron-bridge-gke/nemo2604/128gpus-fp8mx-seq4096-gbs2560/recipe,GPT-OSS-120B,A4X Max,128 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/gpt-oss-120b/megatron-bridge-gke/nemo2604/128gpus-fp8mx-seq4096-gbs2560/recipe
Training,N/A,training/a4x-max/gpt-oss-120b/megatron-bridge-gke/nemo2604/256gpus-fp8mx-seq4096-gbs5120/recipe,GPT-OSS-120B,A4X Max,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/gpt-oss-120b/megatron-bridge-gke/nemo2604/256gpus-fp8mx-seq4096-gbs5120/recipe
Training,N/A,training/a4x-max/gpt-oss-120b/megatron-bridge-gke/nemo2604/512gpus-fp8mx-seq4096-gbs10240/recipe,GPT-OSS-120B,A4X Max,512 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/gpt-oss-120b/megatron-bridge-gke/nemo2604/512gpus-fp8mx-seq4096-gbs10240/recipe
Training,N/A,training/a4x-max/gpt-oss-120b/megatron-bridge-gke/nemo2604/64gpus-fp8mx-seq4096-gbs1280/recipe,GPT-OSS-120B,A4X Max,64 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/gpt-oss-120b/megatron-bridge-gke/nemo2604/64gpus-fp8mx-seq4096-gbs1280/recipe
Training,N/A,training/a4x-max/kimi-k2/megatron-bridge-gke/nemo2604/1024gpus-fp8mx-seq4096-gbs16384/recipe,Kimi-k2,A4X Max,1024 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/kimi-k2/megatron-bridge-gke/nemo2604/1024gpus-fp8mx-seq4096-gbs16384/recipe
Training,N/A,training/a4x-max/kimi-k2/megatron-bridge-gke/nemo2604/256gpus-fp8mx-seq4096-gbs4096/recipe,Kimi-k2,A4X Max,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/kimi-k2/megatron-bridge-gke/nemo2604/256gpus-fp8mx-seq4096-gbs4096/recipe
Training,N/A,training/a4x-max/kimi-k2/megatron-bridge-gke/nemo2604/512gpus-fp8mx-seq4096-gbs8192/recipe,Kimi-k2,A4X Max,512 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/kimi-k2/megatron-bridge-gke/nemo2604/512gpus-fp8mx-seq4096-gbs8192/recipe
Training,N/A,training/a4x-max/llama3-1-405b/megatron-bridge-gke/nemo2602/128gpus-fp8cs-seq8192-gbs1536/recipe,Llama-3.1-405B,A4X Max,128 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/llama3-1-405b/megatron-bridge-gke/nemo2602/128gpus-fp8cs-seq8192-gbs1536/recipe
Training,N/A,training/a4x-max/llama3-1-405b/megatron-bridge-gke/nemo2602/256gpus-fp8cs-seq8192-gbs1536/recipe,Llama-3.1-405B,A4X Max,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/llama3-1-405b/megatron-bridge-gke/nemo2602/256gpus-fp8cs-seq8192-gbs1536/recipe
Training,N/A,training/a4x-max/llama3-1-405b/megatron-bridge-gke/nemo2602/64gpus-fp8cs-seq8192-gbs64/recipe,Llama-3.1-405B,A4X Max,64 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/llama3-1-405b/megatron-bridge-gke/nemo2602/64gpus-fp8cs-seq8192-gbs64/recipe
Training,N/A,training/a4x-max/llama3-1-405b/megatron-bridge-gke/nemo2604/1024gpus-fp8mx-seq8192-gbs6144/recipe,Llama-3.1-405B,A4X Max,1024 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/llama3-1-405b/megatron-bridge-gke/nemo2604/1024gpus-fp8mx-seq8192-gbs6144/recipe
Training,N/A,training/a4x-max/llama3-1-405b/megatron-bridge-gke/nemo2604/256gpus-fp8mx-seq8192-gbs1536/recipe,Llama-3.1-405B,A4X Max,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/llama3-1-405b/megatron-bridge-gke/nemo2604/256gpus-fp8mx-seq8192-gbs1536/recipe
Training,N/A,training/a4x-max/llama3-1-405b/megatron-bridge-gke/nemo2604/512gpus-fp8mx-seq8192-gbs3072/recipe,Llama-3.1-405B,A4X Max,512 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/llama3-1-405b/megatron-bridge-gke/nemo2604/512gpus-fp8mx-seq8192-gbs3072/recipe
Training,N/A,training/a4x-max/qwen3-235b-a22b/megatron-bridge-gke/nemo2602/128gpus-fp8mx-seq4096-gbs1024/recipe,Qwen3-235B-A22B,A4X Max,128 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/qwen3-235b-a22b/megatron-bridge-gke/nemo2602/128gpus-fp8mx-seq4096-gbs1024/recipe
Training,N/A,training/a4x-max/qwen3-235b-a22b/megatron-bridge-gke/nemo2602/256gpus-fp8mx-seq4096-gbs2048/recipe,Qwen3-235B-A22B,A4X Max,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/qwen3-235b-a22b/megatron-bridge-gke/nemo2602/256gpus-fp8mx-seq4096-gbs2048/recipe
